Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
42.0,-13.60328626126053,-9.338126921271472,-2.374233520275573e-16,1.5,124.46808370605592,15.000000348593163,
43.0,-14.196626385690042,-8.4086743755242,-3.2219076863694866e-16,1.4999999999999996,120.63829661314622,15.00000016631721,
44.0,-14.726560337163578,-7.441667191726377,-4.055191389197427e-16,1.5000000000000002,116.80851204641647,14.99999969565261,
45.0,-15.190723430180022,-6.441423162355237,-4.870364813092852e-16,1.5,112.9787233880742,15.000000323901414,
46.0,-14.1700363,-4.920372960000001,-5.663785301260808e-16,0.0,109.14893659651756,14.999999960293895,
47.0,-14.4670372,-3.9629309200000007,-6.431910066852806e-16,0.0,105.31914896775558,14.999999560762523,
48.0,-14.6994257,-2.9877898700000007,-7.1713086659944785e-16,0.0,101.48936195721265,15.000000140569837,
49.0,-14.8661623,-1.9993042900000009,-7.87867823851499e-16,0.0,97.6595743257273,14.999999972465123,
50.0,-14.9665031,-1.001889470000001,-8.550859691654501e-16,0.0,93.82978711640962,14.999999918413549,
51.0,-15.0,-9.18485099360515e-16,-9.18485099360515e-16,0.0,90.0,15.0,
52.0,-14.9665031,1.0018894699999992,-9.777820424189439e-16,0.0,86.17021288359035,14.999999918413549,
53.0,-14.8661623,1.999304289999999,-1.032711983778506e-15,0.0,82.3404256742727,14.999999972465123,
54.0,-14.6994257,2.987789869999999,-1.0830295966814864e-15,0.0,78.51063804278738,15.000000140569837,
55.0,-14.4670372,3.962930919999999,-1.1285100733272882e-15,0.0,74.68085103224439,14.999999560762523,
56.0,-14.1700363,4.920372959999999,-1.1689504297335996e-15,0.0,70.85106340348244,14.999999960293895,
57.0,-13.8097486,5.855839249999999,-1.204169960692679e-15,0.0,67.02127661192583,15.000000323901414,
58.0,-13.3877821,6.765151979999999,-1.2340113107249806e-15,0.0,63.19148795358353,14.999999695652608,
59.0,-12.906024,7.644249439999999,-1.2583413294949435e-15,0.0,59.361703386853776,15.00000016631721,
60.0,-12.3666239,8.48920631,-1.2770512855118586e-15,0.0,55.53191629394405,15.000000348593163,
61.0,-11.7719908,9.29624844,-1.2900575874468333e-15,0.0,51.7021273923138,15.0000000817829,
62.0,-11.1247816,10.0617714,-1.2973022158207877e-15,0.0,47.87233919579421,15.000000311785213,
63.0,-10.427886,10.7823553,-1.2987527058593998e-15,0.0,44.04255194061375,14.999999741481135,
64.0,-9.68441772,11.4547825,-1.2944026942979014e-15,0.0,40.21276690707293,14.999999623258537,
65.0,-8.8976965,12.0760508,-1.2842716248535221e-15,0.0,36.38297972831572,15.00000019767643,
66.0,-8.07123566,12.643384,-1.2684046331086916e-15,0.0,32.55319280307566,15.000000135023718,
67.0,-7.208726410000001,13.1542492,-1.246872645095106e-15,0.0,28.72340402236216,15.000000282331069,
