Node,X,Y,Z,Magnitude,Theta,Radius,Alpha
26.0,14.986294728700004,20.0,20.6410694,0.0,267.5505492117435,14.99999998903593,1.5707963267948966
27.0,14.910009786500003,20.0,21.6406116,0.0,263.7207631461678,14.999999941852682,1.5707963267948966
28.0,14.767133117000004,20.0,22.6328278,0.0,259.89097189283893,15.000000090655035,1.5707963267948966
29.0,14.558302850000004,20.0,23.6132832,0.0,256.06118799083094,14.99999991185735,1.5707963267948966
30.0,14.284451663000004,20.0,24.5776024,0.0,252.23139814210214,15.00000010150231,1.5707963267948966
31.0,13.946802620000003,20.0,25.5214767,0.0,248.40160914364617,15.000000275662726,1.5707963267948966
32.0,13.546863790000003,20.0,26.4406891,0.0,244.57182595467702,14.999999820922401,1.5707963267948966
33.0,13.086421370000004,20.0,27.3311367,0.0,240.74203954766432,14.999999652909317,1.5707963267948966
34.0,12.567531820000003,20.0,28.1888428,0.0,236.91224942130174,15.000000081660813,1.5707963267948966
35.0,11.992512700000002,20.0,29.0099735,0.0,233.08246594826673,14.999999444345443,1.5707963267948966
36.0,11.363932130000004,20.000000000000004,29.7908649,0.0,229.25267803958792,14.999999631509942,1.5707963267948968
37.0,10.684597490000003,20.000000000000004,30.5280285,0.0,225.42288868129413,15.00000025400422,1.5707963267948968
38.0,9.957542420000003,20.000000000000004,31.2181702,0.0,221.59310141217284,14.999999789408916,1.5707963267948968
39.0,9.186015130000005,20.000000000000004,31.8582096,0.0,217.763313858927,15.000000296204034,1.5707963267948968
40.0,8.373460290000004,20.000000000000004,32.4452858,0.0,213.9335280601655,14.999999195729599,1.5707963267948968
41.0,7.523508070000003,20.000000000000004,32.9767799,0.0,210.1037404245031,14.999999675079966,1.5707963267948968
42.0,6.639953610000002,20.000000000000004,33.4503174,0.0,206.27395013946386,15.000000736789811,1.5707963267948968
43.0,5.726743700000003,20.000000000000004,33.863781,0.0,202.4441633223296,15.000000567381683,1.5707963267948968
44.0,4.787957200000002,20.000000000000004,34.2153244,0.0,198.6143794482796,14.999999398208894,1.5707963267948968
45.0,3.8277855000000027,20.000000000000004,34.5033798,0.0,194.7845901166732,14.999998915235235,1.5707963267948968
46.0,2.8505192000000044,20.000000000000004,34.7266617,0.0,190.95480359503824,15.000000817860498,1.5707963267948968
47.0,2.0465734474222828,20.000000000000004,36.372583509378195,1.5,187.1250181018798,14.999998595371355,1.5707963267948968
48.0,0.9484344009113033,20.000000000000004,36.472720612144464,1.5000000000000002,183.29522739859104,15.000001581169654,1.5707963267948968
49.0,-0.15393949950152813,20.000000000000004,36.49928241657393,1.5,179.4654417396882,15.000000534284002,1.5707963267948968
50.0,-1.2556253582386412,20.000000000000004,36.452155256921365,1.5,175.63565757079022,15.000000231457488,1.5707963267948968
51.0,-2.351704077081778,20.000000000000004,36.33154905973427,1.5,171.80587066622707,15.000000204747584,1.5707963267948968
52.0,-3.4372796905132406,20.000000000000004,36.138000986309514,1.5,167.97608227112272,14.999999015301235,1.5707963267948968
53.0,-4.507503650265053,20.000000000000004,35.87237923572012,1.4999999999999998,164.14629551754723,15.00000035635369,1.5707963267948968
54.0,-5.557596489765855,20.000000000000004,35.53586754161973,1.5,160.3165077414089,15.000001788297212,1.5707963267948968
55.0,-5.984424599999998,20.000000000000004,33.7545128,0.0,156.48671617731395,14.99999867194824,1.5707963267948968
56.0,-6.889760999999997,20.000000000000004,33.3240814,0.0,152.65692748628555,14.999998393031476,1.5707963267948968
57.0,-7.764326099999999,20.000000000000004,32.8341446,0.0,148.82714481008443,15.000000913361653,1.5707963267948968
58.0,-8.604213699999995,20.000000000000004,32.2868843,0.0,144.99735701760318,15.00000063989512,1.5707963267948968
59.0,-9.405672099999997,20.000000000000004,31.684747700000003,0.0,141.16757093220892,14.999999882179123,1.5707963267948968
60.0,-10.165122999999998,20.000000000000004,31.030424100000005,0.0,137.33778279687544,14.999999381032982,1.5707963267948968
61.0,-10.879175199999995,20.000000000000004,30.326837500000003,0.0,133.50799553932902,15.000000859456684,1.5707963267948968
62.0,-11.544637699999996,20.000000000000004,29.577127500000003,0.0,129.67820701451885,15.000001025850548,1.5707963267948968
63.0,-12.158536899999998,20.0,28.784643200000005,0.0,125.8484217640098,14.999999189998908,1.5707963267948966
64.0,-12.718135799999995,20.0,27.952924700000004,0.0,122.0186306217027,14.999999650370384,1.5707963267948966
65.0,-13.220931999999998,20.0,27.085687600000004,0.0,118.18884418059713,15.000000390447253,1.5707963267948966
66.0,-13.664678599999995,20.0,26.186803800000003,0.0,114.35905975971144,14.999999416699731,1.5707963267948966
67.0,-14.047397599999996,20.0,25.260288200000005,0.0,110.5292717930729,15.000000375984827,1.5707963267948966
68.0,-14.367376299999997,20.0,24.310277900000003,0.0,106.69948208133047,14.999999910701,1.5707963267948966
69.0,-14.623186099999998,20.0,23.341018700000003,0.0,102.86969963804108,14.999999255632744,1.5707963267948966
70.0,-14.813686399999998,20.0,22.356836300000005,0.0,99.03991081985339,14.999999403418075,1.5707963267948966
71.0,-14.938026399999995,20.0,21.362127300000004,0.0,95.21012015804155,15.000000783616716,1.5707963267948966
72.0,-14.995647399999996,20.0,20.361335800000003,0.0,91.38033459393199,15.000000150182942,1.5707963267948966
