Node,X,Y,Z,Imperfection
220.0,-8.071235659999997,12.643384000000001,28.0,0.0
221.0,-8.897696499999999,12.076050800000003,28.0,0.0
222.0,-9.684417719999999,11.454782500000002,28.0,0.0
223.0,-10.427885999999999,10.782355300000003,28.0,0.0
224.0,-11.124781599999999,10.061771400000001,28.0,0.0
225.0,-11.771990799999998,9.296248440000001,28.0,0.0
226.0,-12.366623899999999,8.489206310000002,28.0,0.0
227.0,-12.906023999999999,7.644249440000001,28.0,0.0
228.0,-13.387782099999999,6.765151980000001,28.0,0.0
229.0,-13.809748599999999,5.855839250000001,28.0,0.0
230.0,-14.170036299999998,4.920372960000001,28.0,0.0
231.0,-14.467037199999998,3.9629309200000007,28.0,0.0
232.0,-14.699425699999999,2.9877898700000007,28.0,0.0
233.0,-14.866162299999997,1.9993042900000009,28.0,0.0
234.0,-14.966503099999999,1.001889470000001,28.0,0.0
235.0,-14.999999999999998,7.960204194457794e-16,28.0,0.0
236.0,-14.966503099999999,-1.0018894699999992,28.0,0.0
237.0,-14.866162299999997,-1.999304289999999,28.0,0.0
238.0,-14.699425699999999,-2.987789869999999,28.0,0.0
239.0,-14.467037199999998,-3.962930919999999,28.0,0.0
240.0,-14.170036299999998,-4.920372959999999,28.0,0.0
241.0,-13.809748599999999,-5.855839249999999,28.0,0.0
242.0,-13.387782099999999,-6.765151979999999,28.0,0.0
243.0,-12.906023999999999,-7.644249439999999,28.0,0.0
244.0,-12.366623899999999,-8.489206309999998,28.0,0.0
245.0,-11.771990799999998,-9.296248439999998,28.0,0.0
246.0,-11.124781599999999,-10.061771399999998,28.0,0.0
247.0,-10.427885999999999,-10.782355299999999,28.0,0.0
248.0,-9.684417719999999,-11.454782499999999,28.0,0.0
249.0,-8.897696499999999,-12.076050799999999,28.0,0.0
250.0,-8.071235659999997,-12.643383999999998,28.0,0.0
251.0,-7.208726409999997,-13.154249199999999,28.0,0.0
252.0,-6.314021589999998,-13.606363299999998,28.0,0.0
253.0,-5.391116619999997,-13.997709299999999,28.0,0.0
254.0,-4.444133759999997,-14.326537099999998,28.0,0.0
255.0,-3.477302309999997,-14.591380099999999,28.0,0.0
256.0,-2.494940279999997,-14.791053799999998,28.0,0.0
257.0,-1.5014353999999974,-14.924667399999999,28.0,0.0
258.0,-0.5012246369999974,-14.991623899999999,28.0,0.0
259.0,0.5012246370000025,-14.991623899999999,28.0,0.0
260.0,1.5014354000000028,-14.924667399999999,28.0,0.0
261.0,2.4949402800000025,-14.791053799999998,28.0,0.0
262.0,3.4773023100000024,-14.591380099999999,28.0,0.0
263.0,4.444133760000002,-14.326537099999998,28.0,0.0
264.0,5.391116620000003,-13.997709299999999,28.0,0.0
265.0,6.314021590000003,-13.606363299999998,28.0,0.0
266.0,7.208726410000002,-13.154249199999999,28.0,0.0
267.0,8.071235660000001,-12.643383999999998,28.0,0.0
268.0,8.897696500000002,-12.076050799999999,28.0,0.0
269.0,9.684417720000003,-11.454782499999999,28.0,0.0
270.0,10.427886000000003,-10.782355299999999,28.0,0.0
271.0,11.124781600000002,-10.061771399999998,28.0,0.0
272.0,11.771990800000001,-9.296248439999998,28.0,0.0
273.0,12.366623900000002,-8.489206309999998,28.0,0.0
274.0,12.906024000000002,-7.644249439999998,28.0,0.0
275.0,13.387782100000003,-6.765151979999997,28.0,0.0
276.0,13.809748600000002,-5.855839249999997,28.0,0.0
277.0,14.170036300000001,-4.920372959999997,28.0,0.0
278.0,15.913740962363102,-4.35922402360445,28.0,1.4999999999999998
279.0,16.169368256224697,-3.2865688542000417,28.0,1.5000000000000002
280.0,16.35277853272892,-2.1992347193670008,28.0,1.5000000000000002
281.0,16.46315341814043,-1.1020784175449347,28.0,1.5
282.0,15.000000000000002,2.6329906181668096e-15,28.0,0.0
283.0,14.966503100000002,1.0018894700000027,27.0,0.0
284.0,14.866162300000001,1.9993042900000026,27.0,0.0
285.0,14.699425700000003,2.9877898700000025,27.0,0.0
